label,message
1,Win a free iPhone now
0,Are you coming to class today
1,Claim your prize now
0,See you at lunch
1,Congratulations you won cash
0,Can you send me the homework
1,Limited offer click now
0,What time is practice
1,Get free gift cards today
0,Do not forget the meeting
1,You have been selected for a reward
0,Want to study together later
1,Exclusive deal just for you
0,I finished the assignment
1,Click here to claim your money
0,How was your day
1,Free vacation waiting for you
0,Let us meet at the library
1,You won a lottery prize
0,Can you help me with math
1,Urgent your account has won money
0,Are you free this weekend
1,Special promotion act now
0,Good luck on your test
1,Claim your free coupon today
0,What are you doing after school
1,Winner collect your reward now
0,Did you complete the project
1,Free cash available now
0,See you tomorrow morning
1,Get rich fast with this trick
0,Can you call me later
1,You are selected for a free trip
0,Happy birthday have a great day
1,Click now to receive your prize
0,Do you want to play chess later
1,Act fast to claim your reward
0,I will be late to class
1,Free money waiting for you
0,Did you eat lunch already
1,Limited time bonus offer
0,What chapter is the test on
1,Win big cash instantly
0,Can you explain this homework
1,Exclusive reward just for you
0,Let us work on the project together
1,Claim your instant prize now
0,Are we still meeting today
1,Free entry into the contest
0,I need help with coding
1,Special cash offer available
0,What is the homework tonight
1,Click here for free rewards
0,See you after school
1,You have won an exclusive prize
0,Can you send the notes
1,Claim your bonus reward now
0,Do you want to hang out later
1,Win a brand new laptop today
0,Did you finish studying
1,Free tickets available now
0,Are you at the gym
1,Claim your exclusive cash bonus
0,Let’s review the lesson together
1,You have been chosen for free gifts
0,What time is dinner
1,Instant reward waiting for you
0,Can we meet after school
1,Get your free coupon now
0,How is your project going
1,Special offer ends tonight
0,Do you want to work on math
1,Congratulations collect your reward
0,Can you send me the file
1,Win free money instantly
0,See you in class tomorrow
1,Claim your limited time offer
0,Did you talk to the teacher